#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 26 04.64,-21 55 20.6 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,350_m20_comissioning_within_half_radius Tile 001
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
11.0,2385362576353008384,-111.19726525192914,-140.67372658701615,179.321579529056,2.48712787416207,0.901739995988357,1.58538787817371,351.00955,-22.516466,17.513500213623,16.6364002227783,16.2766990661621,16.0918998718262,15.9696998596191,16.687567,17.34966,15.92187,-99.0,1.0,0.0,19.0,8.4055972462357,-8.04641688109536,1.0,-115207.328163263,-134262.665755102,1.0,-111223.5,-140661.16,NA,P,-0.492139380530973,-0.622394513274336,NA,NA,NA,NA,rectangular_magnet,R11,1.0,I,11.0,O,127.49806970116909,1.58538787817371,circular_magnet,Yel,1.0,TL,0.028463680639999975,0.006
12.0,2391445658793276160,7.74073809487114,106.36420057150436,106.647867731152,2.95847979145352,4.6401111199096,4.60155397872351,351.555,-21.46733,17.7523994445801,16.9874992370605,16.6895008087158,16.5729999542236,16.4766998291016,17.053204,17.638699,16.342545,-99.0,1.0,0.0,19.0,7.73060858397813,-7.83225886124042,1.0,8064.37183674097,102842.070244898,1.0,7701.57,106369.42,NA,P,0.0340777433628319,0.470661150442478,NA,NA,NA,NA,rectangular_magnet,R12,1.0,I,12.0,P,100.49159417496918,4.60155397872351,circular_magnet,Gre,1.0,TR,0.03946368063999998,0.002
13.0,2388414962365569792,110.29464158920327,12.75646680438145,111.055548411199,0.882307556444453,3.25702443311094,3.9084684305131,352.02765,-21.866978,16.8292999267578,15.7299995422363,15.2011003494263,14.9788999557495,14.8156003952026,15.714747,16.525953,14.83068,-99.0,1.0,0.0,19.0,3.97901361670977,-0.750317168477952,1.0,114883.271836738,12521.6222448984,1.0,110316.49,12790.89,NA,P,0.488126061946903,0.0565968584070796,NA,NA,NA,NA,rectangular_magnet,R13,1.0,I,13.0,Q,-140.55249921676807,3.9084684305131,circular_magnet,Gre,1.0,TL,0.04046368063999998,0.005
14.0,2391495141111578752,-41.094358525735764,115.02251275347184,122.139219535833,3.47565156912063,-1.22750612432171,4.70315769344234,351.33096,-21.431175,16.4426002502441,15.5139999389648,15.1429996490479,14.9806003570557,14.8486995697021,15.563348,16.241632,14.776414,-99.0,1.0,0.0,19.0,1.85157165037886,4.08236099916661,1.0,-42568.6681632595,111013.100244898,1.0,-41110.49,115012.68,NA,P,-0.18190482300885,0.508905663716814,NA,NA,NA,NA,rectangular_magnet,R14,1.0,I,14.0,R,70.85983403136555,4.70315769344234,circular_magnet,Gre,1.0,TR,0.018463680639999976,0.004
15.0,2385416624220969728,-86.83738626031054,-14.849797088085076,88.0656928724109,-0.736562533266307,0.169780745778961,5.37684202813432,351.11826,-21.985579,16.8649997711182,16.13330078125,15.8718996047974,15.7574996948242,15.682900428772,16.20217,16.7469,15.521031,-99.0,1.0,0.0,19.0,11.9953769879289,-6.31102877737611,1.0,-90638.8681632559,-14282.203755102,1.0,-86799.47,-14880.13,NA,P,-0.384068451327434,-0.0658412831858407,NA,NA,NA,NA,rectangular_magnet,R15,1.0,I,15.0,S,-47.798075496376384,5.37684202813432,circular_magnet,Blu,1.0,TR,0.04846368063999998,0.003
16.0,2382401866417328384,-8.794954590208818,-49.17748788168123,49.9779451381557,-0.714598615656718,1.39473773997262,4.17384895155025,351.47858,-22.133766,16.5921993255615,15.8801002502441,15.5412998199463,15.3942003250122,15.2779998779297,15.8968,16.475275,15.183487,-99.0,1.0,0.0,19.0,-2.45912476680068,-3.80778188678718,1.0,-9206.54816325555,-47772.465755102,1.0,-8753.66,-49205.37,NA,P,-0.0387330088495575,-0.217722876106195,NA,NA,NA,NA,rectangular_magnet,R16,1.0,I,16.0,T,-49.0565152769787,4.17384895155025,circular_magnet,Blu,1.0,TR,0.04946368063999998,0.006
17.0,2388386989243317760,70.31573887960374,-81.07294174164487,107.323939408369,3.86435204538434,2.28517847466926,1.57917357071508,351.84412,-22.268793,19.0543994903564,17.8243999481201,16.6938991546631,16.2122993469238,15.9499998092651,17.417103,18.71303,16.28881,-99.0,1.0,0.0,19.0,-30.7442256523771,-9.41819377793628,1.0,73405.4918367339,-78288.5677551014,1.0,70313.36,-81083.04,NA,P,0.311121061946903,-0.358774513274336,NA,NA,NA,NA,rectangular_magnet,R17,1.0,I,17.0,E,48.58893724673004,1.57917357071508,circular_magnet,Gre,1.0,TL,0.008463680639999974,0.006
18.0,2382384450325325568,49.075019538172306,-95.99889096269885,107.789061267444,1.20988154567468,2.04355246182809,5.44951439102618,351.74603,-22.33256,18.4253005981445,17.3448009490967,16.8409996032715,16.6271991729736,16.4817008972168,17.345491,18.130922,16.48271,-99.0,1.0,0.0,19.0,-12.5540788162231,-10.9403758686801,1.0,51237.1518367437,-92699.9097551019,1.0,49080.87,-95966.4,NA,P,0.217171991150443,-0.424630088495575,NA,NA,NA,NA,rectangular_magnet,R18,1.0,I,18.0,F,-159.32110627792397,5.44951439102618,circular_magnet,Gre,1.0,TR,0.03246368063999998,0.006
19.0,2391483145267518592,-81.19916856455417,68.16188171481481,105.984653683462,-0.460344114637638,-0.698500130465597,0.238156015827959,351.14578,-21.630322,18.0093002319336,17.3096008300781,17.0324001312256,16.917200088501,16.8080005645752,17.371584,17.936752,16.690166,-99.0,1.0,0.0,19.0,7.44621709413314,4.84568534219881,1.0,-84419.3481632601,66005.8782448984,1.0,-81163.85,68155.53,NA,P,-0.359132079646018,0.30157314159292,NA,NA,NA,NA,rectangular_magnet,R19,1.0,I,19.0,G,-63.6242251075768,0.238156015827959,circular_magnet,Gre,1.0,TR,0.03446368063999998,0.01
20.0,2388330020796947584,183.3807304525769,-97.35298276084535,207.641965141686,4.65381652243162,2.65338730605338,2.00042921637824,352.0263,-22.68796,18.085599899292,17.6067008972168,17.3635005950928,17.2780990600586,17.1896991729736,17.62044,18.082079,17.011377,NA,NA,NA,NA,-1.62556346732634,-3.67481060831469,1.0,114578.171836738,-173020.309755102,0.0,111503.75,-182581.03,NA,P,0.493379424778761,-0.807880663716814,NA,NA,NA,NA,rectangular_magnet,R20,1.0,I,20.0,H,3.355954636418687,2.00042921637824,circular_magnet,Mag,1.0,TL,0.03946368063999998,0.006
