# Robot File 
# Label, 300_m20_comissioning_within_half_radius Tile 0
# Date and Time file was created/configured: 16-June-21 10:29:15
# Radial Offset Adjustment, -9999
# Radial offset is in millimetre(mm) with +ve values actioning radial outward movement 
# and -ve values actioning radial inward movement of the magnets. 
# Temp1, -9999
# Temp2, -9999
# Temp1 is the temperature the distortion code assumed the field would be observed at, 
# and Temp2 is the actual temperature it is going to be observed at in degrees C. 
# Radial Scale factor, 1.0
# Radial scale factor is thermal coefficient of invar times temperature difference 
# applied radially relative to the plate centre.

Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,516.6145592671037,265.9421783196221,90,10.31036286643588,1,TR,Yel22,[0],-999999,22,NA,3.81566611903093
circular_magnet,Mag,190.63066361955657,139.79939841639154,270,310.91404206380344,1,TL,Mag23,[0],-999999,23,NA,3.7831392648369
circular_magnet,Mag,131.89495951747432,374.3744831896882,90,200.61557981173794,1,TR,Mag24,[0],-999999,24,NA,4.46338538308631
circular_magnet,Mag,356.0921810057155,500.2492792619704,270,97.56695296658856,1,TL,Mag25,[0],-999999,25,NA,1.6171838664549
circular_magnet,Yel,442.0695963661809,152.61926409513507,270,232.6339713369493,1,TL,Yel26,[0],-999999,26,NA,1.83342472625224
circular_magnet,Mag,207.47867928011397,128.1918456382498,90,125.37405307568304,1,TR,Mag27,[0],-999999,27,NA,3.7344617829201
rectangular_magnet,R01,238.60133222521637,316.78244674411565,180,185.93765527519065,1,I,R01,[0],6864320812414324736,1,A,1.92894013060284
rectangular_magnet,R02,291.9984365660082,447.96714238584684,180,140.5163257196613,1,I,R02,[0],6864259544702647296,2,B,3.51709753874347
rectangular_magnet,R03,369.4834881749154,217.6351704972972,180,-119.68250179002416,1,I,R03,[0],6864182273949717504,3,C,4.4848821661441
rectangular_magnet,R04,256.6607087690887,232.84560460781898,180,218.74822489576007,1,I,R04,[0],6864484605287067648,4,D,0.205845650940781
rectangular_magnet,R05,375.16783175660004,247.85502853307568,180,-132.1415975682392,1,I,R05,[0],6864171244473904128,5,I,4.35254581125502
rectangular_magnet,R06,490.4584893129063,304.663241277512,180,94.10088326073128,1,I,R06,[0],6864112351881812992,6,J,6.16227179019814
rectangular_magnet,R07,249.65563047261904,457.07274005032303,180,319.3748576522868,1,I,R07,[0],6864307274677608448,7,K,0.281677938887208
rectangular_magnet,R08,395.78444409521717,479.07665296175526,180,275.3042373393631,1,I,R08,[0],6852214845794793472,8,L,1.96464957918203
rectangular_magnet,R09,445.59806852172983,370.35544671794,180,122.62597767926269,1,I,R09,[0],6864198148147904512,9,M,4.97416683479116
rectangular_magnet,R10,267.5689231984876,364.0635232716914,180,191.12146551276717,1,I,R10,[0],6864303735624448000,10,N,2.38917221516805
rectangular_magnet,R11,482.65940618186625,372.8951646031586,180,139.05797171309456,1,I,R11,[0],6864191379279344640,11,O,4.82267942423255
rectangular_magnet,R12,511.505634773064,367.87221936622836,180,140.09290236999897,1,I,R12,[0],6864095687409267712,12,P,4.91434526004051
rectangular_magnet,R13,418.9408399451724,366.4907256339616,180,115.96147470113476,1,I,R13,[0],6864217423961202688,13,Q,4.9514036163097
rectangular_magnet,R14,370.2805835787611,188.35247153851844,180,-138.61913876486443,1,I,R14,[0],6864185469405448192,14,R,4.98877743482346
