#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 51.34,-22 03 10.0 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,350_m20_comissioning Tile 000
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
11,"2382261816123739136",-122.3953,-173.40544,212.249984885002,2.73573884576952,0.956166246043757,1.77957259972576,350.90573,-22.7801,18.1025009155273,17.0781002044678,16.5776996612549,16.361499786377,16.1998996734619,17.077723,17.834259,16.227045,27.9381808011169,-2.07097941775362,1,19,-99,1,1,-999,"False",-126148.91061224,-164372.479714286,1,-122395.3,-173405.44,NA,"P",-0.541572123893805,-0.767280707964602
12,"2385404460874259328",-2.03999,-10.37305,10.5717418386281,-0.567173854110793,1.37661194650782,4.33939950656097,351.45435,-22.097692,18.5904998779297,17.7898998260498,17.4382991790771,17.2985000610352,17.17799949646,17.841677,18.487274,17.083288,3.11993162387048,0.576641678437693,1,19,-99,1,1,-999,"False",-2160.79061224661,-10148.2717142854,1,-2039.99,-10373.05,NA,"P",-0.00902650442477876,-0.0458984513274336
13,"2385392503685276416",-154.39443,-20.73214,155.780170894772,-1.27107539075076,0.133481903593628,4.8786280128352,350.75528,-22.139286,18.6944007873535,17.7007999420166,17.270299911499,17.0746994018555,16.9552001953125,17.748308,18.441267,16.930058,-16.6823025550485,-9.42894430083464,1,19,-99,1,1,-999,"False",-160150.610612235,-19548.5157142854,1,-154394.43,-20732.14,NA,"P",-0.683161194690265,-0.0917351327433628
14,"2385372235734637824",-79.73593,-62.76079,101.472830326098,-0.987487962710755,0.666830395278905,4.62886694918993,351.09473,-22.320932,17.8567008972168,16.7117004394531,16.1718997955322,15.938099861145,15.7847995758057,16.69877,17.50673,15.802766,0.828201671977452,-16.6961837029558,1,19,-99,1,1,-999,"False",-83434.9106122353,-60600.5117142856,1,-79735.93,-62760.79,NA,"P",-0.352813849557522,-0.277702610619469
15,"2382380872617134848",85.81269,-67.83758,109.388093617599,4.03257535894104,2.47265230325408,1.55992305568695,351.8605,-22.342339,17.7674007415771,16.5548992156982,15.6012001037598,15.1856002807617,14.9618997573853,16.27186,17.434332,15.207109,1.50496924863887,0.168902000065175,1,19,-99,1,1,-999,"False",89629.1093877591,-65438.4937142856,1,85812.69,-67837.58,NA,"P",0.379702168141593,-0.300166283185841
16,"2382327138281652864",101.41529,-111.06333,150.399881371207,0.847814130352901,2.31081854885548,4.820180888677,351.93057,-22.524336,17.9722003936768,17.4365997314453,16.261100769043,15.6983995437622,15.3713998794556,16.920288,17.85195,15.825025,4.43632457803852,-6.22761795025399,1,19,-99,1,1,-999,"False",105464.929387756,-106569.815714286,1,101415.29,-111063.33,NA,"P",0.448740221238938,-0.491430663716814
17,"2385365428211739392",-157.06208,-107.41199,190.278302939895,-1.397165221522,0.599826672236917,4.28619341342066,350.74588,-22.504463,18.7329006195068,17.5280990600586,16.3855991363525,15.8529996871948,15.5749998092651,17.103634,18.391628,15.9485035,-22.554112085302,8.48988770860577,1,19,-99,1,1,-999,"False",-162275.010612241,-102078.517714286,1,-157062.08,-107411.99,NA,"P",-0.694964955752212,-0.475274292035398
18,"2382373867525866240",6.42677,-111.71376,111.898469810675,1.51462151125219,1.62826188956323,6.16954492886855,351.49338,-22.530188,15.7065000534058,14.7562999725342,14.3844995498657,14.2089004516602,14.0836000442505,14.804202,15.480455,14.020985,-1.01398689037071,-0.352694696437129,1,19,-99,1,1,-999,"False",6659.98938775908,-107892.367714286,1,6426.77,-111713.76,NA,"P",0.0284370353982301,-0.494308672566372
19,"2391521769908812288",2.82184,187.81889,187.840086834035,2.82880434475171,4.6973658498274,4.4146238021039,351.47717,-21.259356,17.6539001464844,16.7796001434326,16.3715000152588,16.1830005645752,16.0410003662109,16.836075,17.446432,16.005428,4.18436928113351,9.13952827276091,1,19,-99,1,1,-999,"False",2996.52938775887,179315.664285714,1,2821.84,187818.89,NA,"P",0.012486017699115,0.83105703539823
20,"2388330020796947584",195.48826,-66.42031,206.463840365144,4.71108767216886,2.81406370408494,1.89702396808391,352.21155,-22.547373,17.3661994934082,16.8183002471924,16.6054000854492,16.5424995422363,16.4675006866455,16.864935,17.299198,16.265863,2.10849488298758,0.36645972210296,NA,NA,NA,1,NA,NA,"",168966.409387756,-111776.177714286,0,164034.96,-117882.61,NA,"P",0.725818407079646,-0.521604469026549
