#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 26.87,-21 51 51.4 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,270_m20_comissioning Tile 000
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
13,"4070338758407874048",-43.26937,23.5609,49.2681884080073,-0.199190532027337,-0.498623735548882,0.299433203521545,269.6618,-21.762901,18.2026996612549,16.9965000152588,16.3141994476318,15.8886995315552,15.5769996643066,16.84323,17.83254,15.831986,-1.18348582112323,-2.08650181791756,1,1,-999,"False",-45241.5018181714,22908.7776363636,1,-43269.37,23560.9,NA,"P",-0.191457389380531,0.104251769911504
14,"4070699634404718464",24.82124,27.32109,36.9125441269726,1.47312478885447,3.97489694861233,3.78141314742173,269.97693,-21.74672,18.5897006988525,17.0891990661621,16.2828006744385,15.7583999633789,15.456600189209,16.878086,18.068506,15.6746645,-1.610143919845,-4.66154769870566,1,1,-999,"False",25977.8781818181,26565.6836363635,1,24821.24,27321.09,NA,"P",0.109828495575221,0.120889778761062
15,"4069935954860681984",60.88574,-58.39296,84.3611943544495,1.2223535204514,2.37709023419499,5.12844859343599,270.14343,-22.114115,18.5268001556396,17.1417007446289,16.3808002471924,15.9163999557495,15.589599609375,16.954752,18.076553,15.890055,1.22335860057494,-3.06405026383267,1,1,-999,"False",63606.8781818276,-56465.586363637,1,60885.74,-58392.96,NA,"P",0.26940592920354,-0.25837592920354
16,"4070280308159718144",-65.74984,-120.10316,136.922644226626,2.12643161552624,1.06991706481301,1.05651455071323,269.55917,-22.375439,16.8173999786377,15.9993000030518,15.5957002639771,15.3480997085571,15.2026996612549,15.975429,16.64899,15.185843,-0.647871845398346,1.41757078871267,1,1,-999,"False",-68435.8818181789,-115524.810363637,1,-65749.84,-120103.16,NA,"P",-0.290928495575221,-0.531429911504425
17,"4070798384293212544",29.10908,136.83074,139.892780183232,2.74855367923956,4.50277600692294,4.5289629794962,269.99503,-21.281546,17.2777996063232,16.3551006317139,15.8369998931885,15.4815998077393,15.305100440979,16.29788,17.032028,15.3125925,-0.47468699402389,-1.7250489391714,1,1,-999,"False",30068.478181819,131695.007636364,1,29109.08,136830.74,NA,"P",0.128801238938053,0.605445752212389
18,"4069540306771527808",54.32774,-131.47804,142.260248614113,1.04914006007439,1.96263655571886,5.36968881153511,270.112,-22.42345,19.1615009307861,17.6583995819092,16.5879001617432,16.0275001525879,15.6674995422363,17.422577,18.351284,15.930046,-0.87601627404736,-3.76811883088887,1,1,-999,"False",56503.6981818275,-126375.296363636,1,54327.74,-131478.04,NA,"P",0.240388230088496,-0.581761238938053
19,"4070350195868642560",-165.43718,-44.01882,171.193215521366,2.30861061561533,0.2600506150866,2.04856000052873,269.1057,-22.049007,17.1868991851807,15.8794002532959,15.9654998779297,15.6714000701904,16.3083000183105,16.356405,17.06661,15.241304,-4.02318478238244,-14.0578939690602,1,1,-999,"False",-170920.101818175,-41751.1783636365,1,-165437.18,-44018.82,NA,"P",-0.732022920353982,-0.194773539823009
20,"4069519003748464768",-105.11295,-175.57618,204.635596221906,2.69430772985143,1.03135216206579,1.66295556778564,269.4629,-22.025928,14.9752998352051,14.4441003799438,14.1803998947144,14.0831003189087,14.0180997848511,14.432655,14.881757,13.813971,0.0544239683775683,-0.534294638804831,1,NA,NA,"",-90192.9018181798,-36535.3243636367,0,-86373.04,-37860.78,NA,"P",-0.382181592920354,-0.167525575221239
21,"4070326796883759232",-86.37304,-37.86078,94.3066312676367,2.00118463720803,0.413115483471912,1.58806915373612,269.38293,-22.60225,14.6854000091553,14.1328001022339,13.8763999938965,13.7358999252319,13.6154003143311,14.114243,14.586706,13.474069,-0.900743859548436,-0.83110219813758,1,NA,NA,"",-108266.121818181,-166784.096363637,0,-105112.95,-175576.18,NA,"P",-0.465101548672566,-0.776885752212389
NA,"Sky-A1-1",-226.46104,82.44066,NA,NA,NA,NA,268.8479649,-21.517705389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-226461.04,82440.66,1,"S",-1.00204,0.364781681415929
