#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,20 00 13.56,-22 00 32.4 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning Tile 000
#TILING_DATE,2021 06 10 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
NA,"Sky-A4-2",202.60188,-126.78123,NA,NA,NA,NA,300.9696359,-22.534522945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,202601.88,-126781.23,2,"S",0.896468495575221,-0.56097889380531
NA,"Sky-A4-3",194.62485,-135.24114,NA,NA,NA,NA,300.9343658,-22.570234389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,194624.85,-135241.14,3,"S",0.861171902654867,-0.598412123893805
NA,"Sky-A4-4",191.06371,-146.88677,NA,NA,NA,NA,300.9176177,-22.61814612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,191063.71,-146886.77,1,"S",0.845414646017699,-0.649941460176991
NA,"Sky-A4-5",187.58775,-159.14407,NA,NA,NA,NA,300.9010303,-22.66828464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,187587.75,-159144.07,0,"S",0.830034292035398,-0.704177300884956
NA,"Sky-A4-6",176.06079,-164.57115,NA,NA,NA,NA,300.8503741,-22.692043629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,176060.79,-164571.15,1,"S",0.779030044247788,-0.72819092920354
NA,"Sky-A4-7",171.42278,-176.43761,NA,NA,NA,NA,300.8286086,-22.740470182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,171422.78,-176437.61,0,"S",0.758507876106195,-0.780697389380531
NA,"Sky-A5-1",-148.4702,-189.83588,NA,NA,NA,NA,299.3859132,-22.797706697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-148470.2,-189835.88,1,"S",-0.656947787610619,-0.839981769911504
NA,"Sky-A5-2",-157.43205,-182.47249,NA,NA,NA,NA,299.3455948,-22.766899641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-157432.05,-182472.49,1,"S",-0.696601991150442,-0.807400398230088
NA,"Sky-A5-3",-164.65131,-173.23667,NA,NA,NA,NA,299.3127867,-22.728722084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-164651.31,-173236.67,2,"S",-0.728545619469027,-0.766533938053097
NA,"Sky-A5-4",-172.79576,-165.11397,NA,NA,NA,NA,299.2761864,-22.694732732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-172795.76,-165113.97,2,"S",-0.764583008849558,-0.730592787610619
NA,"Sky-A5-5",-182.05086,-157.91943,NA,NA,NA,NA,299.2350211,-22.664212182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-182050.86,-157919.43,1,"S",-0.805534778761062,-0.698758539823009
NA,"Sky-A5-6",-189.43818,-148.97731,NA,NA,NA,NA,299.2019083,-22.626828688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-189438.18,-148977.31,1,"S",-0.83822203539823,-0.659191637168142
NA,"Sky-A5-7",-196.38671,-139.6901,NA,NA,NA,NA,299.1707991,-22.588011035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-196386.71,-139690.1,1,"S",-0.868967743362832,-0.61809778761062
NA,"Sky-H1-1",-181.17025,158.92893,NA,NA,NA,NA,299.2463219,-21.344748518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-181170.25,158928.93,1,"S",-0.801638274336283,0.703225353982301
NA,"Sky-H1-2",-173.31368,167.46173,NA,NA,NA,NA,299.2816537,-21.309370469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-173313.68,167461.73,1,"S",-0.766874690265487,0.74098110619469
NA,"Sky-H1-3",-165.05567,175.60663,NA,NA,NA,NA,299.3187558,-21.275609445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-165055.67,175606.63,1,"S",-0.73033482300885,0.777020486725664
NA,"Sky-H1-4",-156.41534,183.34477,NA,NA,NA,NA,299.3575425,-21.243542653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-156415.34,183344.77,1,"S",-0.692103274336283,0.811260044247788
NA,"Sky-H1-5",-147.4127,190.65822,NA,NA,NA,NA,299.397924,-21.213243422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-147412.7,190658.22,1,"S",-0.652268584070796,0.843620442477876
NA,"Sky-H1-6",-138.06861,197.53006,NA,NA,NA,NA,299.4398073,-21.184780894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-138068.61,197530.06,1,"S",-0.610923053097345,0.874026814159292
