"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
11,"6243520741895485952",-115.13542,51.64656,126.188478469352,-0.436505293976698,-0.42166601435072,6.26834602755361,239.55368,-21.798471,18.5860996246338,17.9769992828369,17.6853008270264,17.5030994415283,17.3684997558594,18.005518,18.44432,17.27196,-14.2734365956204,-0.640897062599648,1,19,-99,1,1,-999,"False",-119609.577551018,49990.6511428573,1,-115135.42,51646.56,NA,"P",-0.509448761061947,0.228524601769912
12,"6243419002709554688",-114.79558,-83.78176,142.117586864659,-1.23935614060793,0.630469699681731,4.41335946688993,239.5546,-22.375404,17.8334999084473,17.2780990600586,17.025899887085,16.9143009185791,16.8159008026123,17.294119,17.747349,16.630903,0.212352987606134,-4.56435411347376,1,19,-99,1,1,-999,"False",-119401.657551023,-80396.2068571428,1,-114795.58,-83781.76,NA,"P",-0.507945044247788,-0.370715752212389
13,"6243506031626295168",-43.20386,47.08115,63.8999859485282,-0.649303583340426,-0.828316794519514,0.179013211179088,239.88312,-21.817493,18.2303009033203,17.6434993743896,17.37380027771,17.2644004821777,17.1583995819092,17.667429,18.14149,17.010897,0.439146654344678,-0.531432831865482,1,19,-99,1,1,-999,"False",-45156.1375510235,45691.6791428574,1,-43203.86,47081.15,NA,"P",-0.191167522123894,0.208323672566372
14,"6243544759354419840",93.96979,59.06828,110.992716584479,3.62897567638384,3.70276792610579,6.20939305745763,240.51546,-21.766584,17.6984004974365,17.1636009216309,16.9405994415283,16.846700668335,16.770299911499,17.188124,17.613878,16.57587,-1.17801102915985,2.83799231176333,1,19,-99,1,1,-999,"False",97752.7024489764,57197.1131428567,1,93969.79,59068.28,NA,"P",0.415795530973451,0.26136407079646
15,"6243459203603812352",-4.76271,13.88263,14.676880535761,3.60074164664628,-1.24030876658572,4.841050413232,240.06073,-21.95971,15.9582996368408,15.539400100708,15.3543996810913,15.2671003341675,15.2104997634888,15.533947,15.901967,14.9845915,-3.05869828984736,2.28892293757541,1,19,-99,1,1,-999,"False",-5016.27755101993,13550.6371428569,1,-4762.71,13882.63,NA,"P",-0.0210739380530973,0.0614275663716814
16,"6243608840265448960",5.14671,92.21285,92.3563659362288,-0.103119314591378,4.65663345673512,1.52343253585309,240.10654,-21.624922,15.3351001739502,14.7638998031616,14.5318002700806,14.4280996322632,14.3663997650146,14.78614,15.246528,14.164839,5.5012838399204,-4.04293204327244,1,19,-99,1,1,-999,"False",5336.78244897754,89212.7251428568,1,5146.71,92212.85,NA,"P",0.0227730530973451,0.408021460176991
17,"6243247375819323776",86.8944,-61.37689,106.384958417213,1.08512681501778,2.52662508875333,4.84168703344403,240.4846,-22.281614,17.0130004882813,16.37619972229,16.113000869751,15.9609003067017,15.8729000091553,16.38899,16.882633,15.720004,0.542557410297177,-0.0390842528900147,1,19,-99,1,1,-999,"False",90778.3424489787,-59199.6668571431,1,86894.4,-61376.89,NA,"P",0.384488495575221,-0.271579159292035
18,"6243408248111571584",2.11492,-72.57561,72.6064188173367,1.33604245963029,1.59992900161902,6.01929876519086,240.0928,-22.330832,17.5919990539551,16.9792003631592,16.6930999755859,16.5596008300781,16.4743995666504,16.994648,17.496092,16.314512,-4.72930503105694,-2.48465611786776,1,19,-99,1,1,-999,"False",2231.54244898109,-70322.9348571431,1,2114.92,-72575.61,NA,"P",0.00935805309734513,-0.321131017699115
19,"6243454599398894336",-39.24636,1.57888,39.2781063100552,1.74156833039629,-0.0402082905614263,1.78177662095772,239.90085,-22.012787,17.5613994598389,17.0074005126953,16.7362995147705,16.6201992034912,16.5303001403809,17.018198,17.47929,16.381199,-0.0145411074901259,-0.143462166214562,1,19,-99,1,1,-999,"False",-41149.1575510234,1555.23514285726,1,-39246.36,1578.88,NA,"P",-0.173656460176991,0.00698619469026549
20,"6243180099451824000",176.24605,-112.99957,209.359912497086,0.399735459304838,2.57146640624424,4.11145436024018,240.88467,-22.492474,17.2486000061035,17.1520004272461,17.1511993408203,17.1375007629395,17.0813007354736,17.12541,17.275198,16.786482,-0.955638154959093,-1.75819020353251,NA,NA,NA,1,NA,NA,"",181194.162448985,-106854.026857142,0,176246.05,-112999.57,NA,"P",0.779849778761062,-0.499998097345133
