#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 39.47,-21 55 23.1 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning_within_half_radius Tile 003
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
11,"6243445013031742848",70.53145,-31.89047,77.4059914730339,0.890640130852556,2.71695605207449,4.45686938595765,240.2407,-22.059414,17.3803997039795,16.4482002258301,16.0496006011963,15.8423004150391,15.6941003799438,16.485516,17.109911,15.616087,-7.11530678359924,-1.85225334316198,1,19,-99,1,1,-999,"False",73727.5648979607,-30811.1842040813,1,70531.45,-31890.47,NA,"P",0.312086061946903,-0.141108274336283
12,"6243570735316039552",130.78074,100.68751,165.050224552855,-0.186168609573214,3.79770579723558,2.2993109003708,240.51067,-21.494886,17.0214996337891,16.5242004394531,16.3146991729736,16.2222003936768,16.1753005981445,16.544584,16.960121,15.955785,1.60020825523997,-3.2721296803756,1,19,-99,1,1,-999,"False",134740.784897961,96772.1437959185,1,130780.74,100687.51,NA,"P",0.578675840707965,0.445519955752212
13,"6243237205337050368",157.37658,-82.35391,177.621942407982,-1.43801857374743,2.65948552115462,2.18568121227754,240.63399,-22.26982,17.7889003753662,17.2439002990723,16.9997997283936,16.8929004669189,16.8054008483887,17.26028,17.7088,16.6304,0.2030147893258,-1.41661132932593,1,19,-99,1,1,-999,"False",162611.104897962,-78362.9402040811,1,157376.58,-82353.91,NA,"P",0.696356548672566,-0.364397831858407
14,"6243466281710014208",43.85706,35.70257,56.5518807507628,-0.312094843735141,3.82485216261567,2.14623830082878,240.11725,-21.769642,17.3899002075195,16.32080078125,15.8496999740601,15.6169004440308,15.4555997848511,16.324255,17.093122,15.461684,-13.2128999878424,-10.9746348928709,1,19,-99,1,1,-999,"False",45827.8648979627,34677.2877959185,1,43857.06,35702.57,NA,"P",0.194057787610619,0.157975973451327
15,"6246633665471510528",-29.63761,138.51075,141.646093458572,0.152410194933362,-1.36000165780666,1.51241185274002,239.77885,-21.333307,16.3803997039795,15.618800163269,15.2621002197266,15.0693998336792,14.9499998092651,15.625436,16.229439,14.880467,0.657615937808762,-4.02465719621345,1,19,-99,1,1,-999,"False",-30650.5351020389,133288.997795918,1,-29637.61,138510.75,NA,"P",-0.131139867256637,0.612879424778761
16,"6243501397362975872",-120.55362,35.84896,125.77091566887,-0.7984156112526,-0.289041674001091,5.77381136992808,239.36043,-21.769209,17.7502002716064,17.1415004730225,16.8572006225586,16.7285995483398,16.6359004974365,17.160967,17.647867,16.488808,-6.07377088757693,-0.433630703622739,1,19,-99,1,1,-999,"False",-125213.455102038,34775.1457959187,1,-120553.62,35848.96,NA,"P",-0.533423097345133,0.158623716814159
17,"6243562282820104192",85.2436,70.92301,110.889786222267,3.09892172981802,3.83554584932011,5.54656118767749,240.30644,-21.619413,18.2413997650146,17.7763996124268,17.5757007598877,17.4790000915527,17.4164009094238,17.796782,18.181355,17.223846,-0.0552306750504738,-4.13507575234508,1,19,-99,1,1,-999,"False",88584.8048979619,68629.0417959184,1,85243.6,70923.01,NA,"P",0.37718407079646,0.313818628318584
18,"6243411065610210688",-23.94858,-99.64919,102.486562785921,-1.23665503086421,1.33494038422657,3.71158989208881,239.80377,-22.349384,16.5673999786377,15.8295001983643,15.5029001235962,15.3253002166748,15.1927995681763,15.856538,16.423893,15.114109,-5.00894556727054,-3.53063876204092,1,19,-99,1,1,-999,"False",-25018.6151020434,-96344.4042040814,1,-23948.58,-99649.19,NA,"P",-0.105967168141593,-0.440925619469027
19,"6243508097511705984",-48.88483,19.47687,52.6220017590152,-0.56712397668686,-0.379146674128666,6.09520800462139,239.68819,-21.839272,17.5256004333496,16.8435001373291,16.5471000671387,16.4102001190186,16.2926998138428,16.869081,17.405716,16.169243,-4.58590763755619,-6.72779427184459,1,19,-99,1,1,-999,"False",-51139.6951020421,18940.9077959185,1,-48884.83,19476.87,NA,"P",-0.216304557522124,0.0861808407079646
20,"6237406009834692224",-143.76669,-148.55915,206.733360158148,2.64750022203936,0.801790934939524,1.84570928709983,239.07031,-21.995502,15.9406003952026,15.7441997528076,15.7137002944946,15.7135000228882,15.6552000045776,15.730034,15.952717,15.350487,-3.94638379685808,0.126823196988606,NA,NA,NA,1,NA,NA,"",-190780.575102039,-16367.0722040809,0,-185238.38,-17642.37,NA,"P",-0.819638849557522,-0.0780635840707965
