probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,Position,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,Re,GAL_MU_E_R,Mstar,grads,gangs,gazAngs,gangs_gazAng
11.0,6864218660911720448,63.09038,-45.86352,77.999093041745,4.01674089003215,2.51300780981917,1.50373308021298,300.36612,-22.21038,15.7189998626709,15.104000091552699,14.8232002258301,14.6877002716064,14.5894002914429,15.1162405,15.615935999999998,14.450313,-1.81650977896266,3.53997993779526,1.0,1.0,-999.0,False,65986.681010108,-44376.387515151386,1.0,63090.38,-45863.52,NA,P,0.2791609734513269,-0.20293592920354,1.0,19.0,-99.0,NA,NA,NA,NA
12.0,6852164062101265408,125.65333,-171.85877,212.894800702135,0.40683864163784295,2.20211929842384,4.48790465039359,300.6458,-22.734621,17.603200912475604,17.094800949096697,16.8787994384766,16.784200668335,16.7350997924805,17.12699,17.55936,16.524801,-1.5883510993129,0.84953512533961,1.0,1.0,-999.0,False,129194.361010105,-162854.853515152,1.0,125653.33,-171858.77,NA,P,0.555988185840708,-0.7604370353982299,1.0,19.0,-99.0,NA,NA,NA,NA
13.0,6865830093983887872,54.71903,134.99127,145.659930043763,3.25175286452133,4.32727703187711,5.2076611398238,300.32452,-21.439585,17.7609004974365,17.185499191284197,16.9589004516602,16.834100723266598,16.7598991394043,17.228592000000006,17.675022,16.587538000000002,0.569334467916126,-7.52807231313637,1.0,1.0,-999.0,False,56585.0810101042,129823.28248484801,1.0,54719.03,134991.27,NA,P,0.242119601769911,0.5973065044247788,1.0,19.0,-99.0,NA,NA,NA,NA
14.0,6864244430715564288,69.5558,-8.362639999999999,70.0567131787497,3.90758821521897,3.02193776166856,0.885650453550412,300.396,-22.049658,17.9633007049561,16.953800201415998,16.5076007843018,16.268499374389602,16.114700317382802,16.967297,17.707968,16.118351,-2.03706724264737,-4.14899567500741,1.0,1.0,-999.0,False,72739.56101009321,-8053.215515151491,1.0,69555.8,-8362.64,NA,P,0.30776902654867305,-0.0370028318584071,1.0,19.0,-99.0,NA,NA,NA,NA
15.0,6852084691105923840,49.62686,-171.00097,178.05661171211997,4.237274531939621,1.85325105259582,2.3840234793438,300.30142,-22.737122,18.1774005889893,17.6725006103516,17.4556999206543,17.381900787353498,17.341100692749,17.691404000000006,18.08831,17.087978,-2.91096564407915,-3.19998687473821,1.0,1.0,-999.0,False,51364.4810101043,-163420.079515152,1.0,49626.86,-171000.97,NA,P,0.219587876106195,-0.756641460176991,1.0,19.0,-99.0,NA,NA,NA,NA
16.0,6864486838670057856,-78.24808,85.53291999999998,115.925158733611,-0.229688486620516,-0.8298480177619121,0.600159531141396,299.71454,-21.64806,16.2800998687744,15.6722002029419,15.436900138855,15.3376998901367,15.262900352478,15.708646,16.18597,15.075274,-1.5298865053937,0.533252173781253,1.0,1.0,-999.0,False,-81270.3989898974,82707.9324848477,1.0,-78248.08,85532.92,NA,P,-0.34623044247787604,0.3784642477876111,1.0,19.0,-99.0,NA,NA,NA,NA
17.0,6864097096158549120,13.7143,-139.66242,140.334149745336,1.46081341756407,1.66867858735248,6.07532013739118,300.1371200000001,-22.608412,18.0734004974365,17.5191993713379,17.3069000244141,17.216899871826197,17.146900177002,17.564676000000002,18.000501999999994,16.944271,1.13341978096186,-2.01146351040592,1.0,1.0,-999.0,False,14232.681010111399,-134331.61951515198,1.0,13714.3,-139662.42,NA,P,0.0606827433628319,-0.617975309734513,1.0,19.0,-99.0,NA,NA,NA,NA
18.0,6864114168650849664,-34.07549,-108.61876,113.83836806049901,0.9535850041969108,1.2668036326381398,5.96996667873836,299.91638,-22.477957,18.3663005828857,17.447799682617198,17.063400268554698,16.8743000030518,16.75119972229,17.487598000000002,18.15308,16.681501,2.62636233345456,-1.50231948718941,1.0,1.0,-999.0,False,-35654.5589898965,-104848.78951515199,1.0,-34075.49,-108618.76,NA,P,-0.150776504424779,-0.480613982300885,1.0,19.0,-99.0,NA,NA,NA,NA
19.0,6864207700155177088,9.44857,-101.79139,102.22897120277099,0.7980874071274109,1.66335398674686,5.41791872756014,300.1177,-22.449522,17.1907005310059,16.5785999298096,16.2789993286133,16.1392993927002,16.040899276733402,16.58624,17.084604000000002,15.90654,3.1763267624050497,-1.2610815024700202,1.0,1.0,-999.0,False,9843.761010105707,-98422.4795151525,1.0,9448.57,-101791.39,NA,P,0.0418078318584071,-0.4504043805309729,1.0,19.0,-99.0,NA,NA,NA,NA
20.0,6852225493016163072,199.23179,-21.9393,200.436122071582,4.738395172807911,3.0319150822992498,1.70648009050867,299.31866,-22.478647,16.8535995483398,16.7910003662109,16.8145999908447,16.8388996124268,16.8160991668701,16.741186,16.88255,16.440392000000006,1.07936386625169,-2.04550660662119,1.0,NA,NA,NA,-170739.278989892,-105004.729515152,0.0,-165615.79,-110728.09,NA,P,-0.7328132300884959,-0.489947300884956,1.0,19.0,-99.0,NA,NA,NA,NA
21.0,6864148807564518400,-165.61579,-110.72809,199.221735291037,4.84615038551333,0.589328908340825,4.2568214771725,300.9798,-22.104164,16.8222999572754,16.875799179077102,16.9820995330811,17.0475997924805,17.0223999023438,16.801289,16.873306,16.600435,2.26442229184308,-3.65410657100285,1.0,NA,NA,NA,204678.361010105,-20371.5715151523,0.0,199231.79,-21939.3,NA,P,0.881556592920354,-0.0970765486725664,1.0,19.0,-99.0,NA,NA,NA,NA
22.0,6864235050507494528,-186.28592,-71.29396,NA,NA,NA,NA,300.73398,-22.083553,NA,11.1969995498657,NA,NA,NA,NA,NA,NA,11.820713889340501,-47.3446832355894,NA,NA,NA,NA,149123.041010097,-15713.485515151699,2.0,143741.04,-16616.86,NA,G,NA,NA,NA,NA,NA,199.462459432165,4.76691193074163,0.36551515635262294,4.40139677438901
23.0,6864317097262996096,18.85695,207.04757,NA,NA,NA,NA,299.99062999999995,-21.762323000000002,NA,12.316800117492699,NA,NA,NA,NA,NA,NA,0.857401274660125,-2.7838813638194595,NA,NA,NA,NA,-18874.0589899079,56884.494484847404,2.0,-18089.65,58624.83,NA,G,NA,NA,NA,NA,NA,207.904499244743,2.6528700829137204,4.62156410308637,4.3144912870069305
24.0,6864297275993255168,-167.79735,120.06093,NA,NA,NA,NA,300.32556,-21.936121,NA,13.1969995498657,NA,NA,NA,NA,NA,NA,-0.518102247488317,-2.8589415496493196,NA,NA,NA,NA,56820.1210101017,17606.1464848479,2.0,54304.85,18115.21,NA,G,NA,NA,NA,NA,NA,206.326386047658,3.1221712741441805,-0.6210606702521679,3.74323194439635
25.0,6864253432967543680,174.25435,96.98055,NA,NA,NA,NA,300.68863,-21.910965,NA,13.5031995773315,NA,NA,NA,NA,NA,NA,4.98119987526924,-5.379683847611459,NA,NA,NA,NA,138873.9410101,23291.402484847702,2.0,133816.35,23964.06,NA,G,NA,NA,NA,NA,NA,199.42368357902,1.2371834388823701,3.64944763851555,3.87092110754641
26.0,6864192684949374848,172.36085,44.3131,NA,NA,NA,NA,300.36475,-22.501371,NA,13.5939998626709,NA,NA,NA,NA,NA,NA,2.51431770727811,-8.27571105127203,NA,NA,NA,NA,65677.0610101061,-110140.35351515199,2.0,63033.16,-114389.04,NA,G,NA,NA,NA,NA,NA,177.966045762478,1.1523138793877,3.39323766657423,4.04226151999306
27.0,6864369740682301312,166.41453,-28.9121,NA,NA,NA,NA,299.2787,-22.126495000000002,NA,13.5972003936768,NA,NA,NA,NA,NA,NA,0.0843640266603263,-5.3544862231248,NA,NA,NA,NA,-179770.238989894,-25418.3775151526,2.0,-174037.47,-27071.76,NA,G,NA,NA,NA,NA,NA,168.907386817542,1.13929454240846,2.96957424295071,4.45290560663734
