#OBS_TEMP,281.149994
#ROBOT_TEMP,292.149994
#MDLPARS,0,0.9997970635,-0.006807024613,0,0.004483847745,0.9998102979,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
#EQUINOX,J2000.0
#CENTRE,20 00 30.45,-21 58 26.0 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning_within_half_radius Tile 000
#TILING_DATE,2021 06 17 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
11,"6864217423961203072",-64.66855,13.35916,66.0339951465009,-0.753798676405006,-0.203713378768638,5.73310000954322,300.18668,-22.25161,15.5479001998901,14.7068004608154,14.3452997207642,14.1535997390747,14.0296001434326,14.731528,15.376797,13.966559,-99,1,0,19,-1.24227886193078,-2.56707911285755,1,13518.3053061241,-62762.4046530613,1,-64668.55,13359.16,NA,"P",-0.286144026548673,0.0591113274336283
12,"6864369809401792256",-34.75693,-188.85525,192.026950284556,-0.98225260234681,1.3887929008631,3.91213980396968,299.26553,-22.114565,17.1117992401123,16.4423007965088,16.1518993377686,16.0121002197266,15.9118003845215,16.472305,17.002645,15.779482,-99,1,0,19,-0.181240683558082,-6.09272810033326,1,-194661.594693878,-31790.2346530612,1,-34756.93,-188855.25,NA,"P",-0.153791725663717,-0.835642699115044
13,"6864294217976812928",45.13717,-57.5388,73.1305518989765,1.14521857164611,2.23599261520925,5.19241126361645,299.86258,-21.778936,17.7875995635986,17.0366992950439,16.6984996795654,16.4869995117188,16.3906993865967,17.094019,17.621058,16.270752,-99,1,0,19,-5.76011633574685,-1.28809492015192,1,-59728.2946938858,44061.9193469382,1,45137.17,-57538.8,NA,"P",0.199721991150442,-0.254596460176991
14,"6852180073736599680",-156.03267,35.80074,160.08712344182,-1.00226423484193,-0.225540137180616,5.50646120951827,300.28644,-22.63679,17.9276008605957,17.1730003356934,16.8813991546631,16.7343997955322,16.6401996612549,17.759146,17.739744,16.450966,-99,1,0,19,-7.45293255227673,-13.7918714391832,1,36064.0653061249,-149813.084653062,1,-156032.67,35800.74,NA,"P",-0.690410044247788,0.158410353982301
15,"6864254669918134528",23.42226,105.92554,108.484202941254,-0.032271036220239,4.49477059092816,1.75614368003118,300.61572,-21.875154,15.6617002487183,14.7807998657227,14.3635997772217,14.1513996124268,13.9981002807617,14.778689,15.461514,13.979959,-99,1,0,19,-1.96861540523704,-1.67153495543686,1,110481.345306121,22316.6513469389,1,23422.26,105925.54,NA,"P",0.103638318584071,0.468697079646018
16,"6864262774517115008",-52.05563,-18.51208,55.2493051596425,-0.607486849970091,0.341673670886521,5.33402478632298,300.0393,-22.197052,19.0561008453369,17.9253005981445,17.3754997253418,17.0869007110596,16.8920993804932,17.894148,18.605604,16.952469,-99,1,0,19,6.08923448459144,-5.01191580327987,1,-19789.5746938755,-50432.2966530613,1,-52055.63,-18512.08,NA,"P",-0.230334646017699,-0.0819118584070797
17,"6864247553153377152",-11.14576,50.82253,52.0303519263372,-0.32492705215226,-1.35490668556343,1.02997963341117,300.362,-22.022638,17.7238006591797,17.051700592041,16.7576007843018,16.6354007720947,16.5471992492676,17.08544,17.593851,16.395834,-99,1,0,19,-2.60471798057582,-2.71453444608512,1,53140.625306124,-11014.7326530616,1,-11145.76,50822.53,NA,"P",-0.0493175221238938,0.224878451327434
18,"6864224295908929536",-21.81419,28.17913,35.635968527781,-0.453787880977948,-0.912032685832898,0.45824480485495,300.25696,-22.068262,18.7703990936279,17.4006996154785,16.2935009002686,15.7784996032715,15.5038995742798,16.991936,18.279327,15.843382,-99,1,0,19,-4.3914130371563,13.952974994772,1,29401.585306117,-21325.7566530616,1,-21814.19,28179.13,NA,"P",-0.0965229646017699,0.124686415929204
19,"6864270097440267136",-30.29582,-26.48893,40.2430133317238,1.72149538614302,0.718457619858306,1.00303776628471,300.00293,-22.103594,17.5144996643066,16.680700302124,16.2880001068115,16.0685005187988,15.9324998855591,16.742794,17.336298,15.880338,-99,1,0,19,-5.21289028507101,3.93708391987348,1,-28009.194693883,-29310.7886530617,1,-30295.82,-26488.93,NA,"P",-0.134052300884956,-0.117207654867257
20,"6865744817410041344",40.90807,188.53261,192.919711861015,0.308978522034391,4.4987197352623,2.09344409395168,299.59207,-21.217356,17.5881004333496,17.1609992980957,16.9832992553711,16.9137992858887,16.8477001190186,17.178785,17.53735,16.624624,NA,NA,NA,NA,-1.21066328674379,-2.61561442481944,1,-120863.554693886,170978.999346939,0,179355.45,-119963.37,NA,"P",0.793608185840708,-0.530811371681416
21,"6864580056640487168",179.35545,-119.96337,215.776707701409,0.533930758145782,2.5520743436534,4.26504172167197,300.98462,-21.802881,15.9847002029419,15.5881996154785,15.4201002120972,15.3612003326416,15.3173999786377,15.592635,15.926491,15.071152,NA,NA,NA,NA,0.914993661514692,-0.778677897478498,1,193852.74530612,38650.3493469387,0,40908.07,188532.61,NA,"P",0.181009159292035,0.834215088495575
NA,"Sky-A1-1",-226.46104,82.44066,NA,NA,NA,NA,300.4921412,-22.917573469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-226461.04,82440.66,1,"S",-1.00204,0.364781681415929
NA,"Sky-A1-2",-220.38782,92.46733,NA,NA,NA,NA,300.5377934,-22.892900783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-220387.82,92467.33,2,"S",-0.975167345132743,0.409147477876106
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,300.5889262,-22.880410507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
