probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng
11.0,6864191379279345024,93.44131,-135.33538,164.459549720472,0.714573196051161,2.17507907899819,4.82267942423255,300.2532,-22.547285,17.385799407959,16.497200012207,16.1502990722656,15.9855003356934,15.8632001876831,16.546124,17.19085,15.775208,-4.26819965673957,2.40972481647499,1.0,19.0,-99.0,1.0,1.0,-999.0,False,96921.0685714177,-129584.954653061,1.0,93441.31,-135335.38,NA,P,0.413457123893805,-0.598829115044248,NA,NA,NA,NA
12.0,6864095687409267968,88.73695,-164.55562,186.956675111874,0.69651024855835,2.06535029569742,4.91434526004051,300.2301,-22.668116,17.1124000549316,16.4078998565674,16.0862007141113,15.9385995864868,15.8144998550415,16.430332,16.99098,15.722234,-4.22376171785455,-3.23514834684218,1.0,19.0,-99.0,1.0,1.0,-999.0,False,91700.4685714178,-156892.760653062,1.0,88736.95,-164555.62,NA,P,0.392641371681416,-0.728122212389381,NA,NA,NA,NA
13.0,6864217423961203072,78.39798,-64.98563,101.830129993913,1.11768311458688,2.44946480545677,4.9514036163097,300.18668,-22.25161,15.5479001998901,14.7068004608154,14.3452997207642,14.1535997390747,14.0296001434326,14.731528,15.376797,13.966559,-1.24227886193078,-2.56707911285755,1.0,19.0,-99.0,1.0,1.0,-999.0,False,81887.5485714248,-62762.4046530613,1.0,78397.98,-64985.63,NA,P,0.346893716814159,-0.28754703539823,NA,NA,NA,NA
14.0,6864185469405447808,-91.2385,-58.76145,108.523600605364,-0.722232275863999,0.572175596492123,4.98877743482346,299.40286,-22.224525,18.5314998626709,17.7089004516602,17.368200302124,17.1991996765137,17.0928993225098,17.753624,18.366657,16.99642,1.61780212986328,-2.58375560358213,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-95255.7714285862,-56641.1946530614,1.0,-91238.5,-58761.45,NA,P,-0.40371017699115,-0.260006415929204,NA,NA,NA,NA
15.0,6864246526660028416,143.22791,-1.02671,143.231589868968,4.02462245771724,3.13442441092988,0.890198046787364,300.48145,-21.977095,16.8414001464844,16.156400680542,15.8706998825073,15.7321996688843,15.6496000289917,16.18988,16.718124,15.500914,-4.20268413538608,-5.82314851110123,1.0,19.0,-99.0,1.0,1.0,-999.0,False,148505.568571418,-722.014653061073,1.0,143227.91,-1026.71,NA,P,0.633751814159292,-0.0045429646017699,NA,NA,NA,NA
16.0,6864158531370344448,-50.04883,-116.19202,126.512730173881,1.99845063336917,1.1640718833275,0.834378750041672,299.59323,-22.469244,18.6284008026123,17.9613990783691,17.6893997192383,17.5615005493164,17.4855003356934,18.006987,18.524551,17.285067,-1.69666877137323,-3.32346769251917,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-52232.1514285794,-111947.688653061,1.0,-50048.83,-116192.02,NA,P,-0.221455,-0.514123982300885,NA,NA,NA,NA
17.0,6864268138935234944,14.63169,-27.83635,31.4475552877899,-0.589977096810904,2.05473902786314,3.63846918250554,299.89227,-22.093689,18.8169994354248,17.9993991851807,17.6392002105713,17.4857006072998,17.3446998596191,18.031122,18.59221,17.267637,-0.764694425900438,1.31292652895772,1.0,19.0,-99.0,1.0,1.0,-999.0,False,15350.8885714185,-27072.2586530617,1.0,14631.69,-27836.35,NA,P,0.0647419911504425,-0.123169690265487,NA,NA,NA,NA
18.0,6864492061350380672,-86.21195,64.46021,107.645803429797,-0.303989768834996,-0.642024023270655,0.338034254435659,299.42755,-21.697632,16.925199508667,16.1697006225586,15.8166999816895,15.6337995529175,15.5186004638672,16.184126,16.788244,15.441077,2.01056728357788,-3.86328444896472,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-89675.8314285814,62436.6233469389,1.0,-86211.95,64460.21,NA,P,-0.381468805309735,0.285222168141593,NA,NA,NA,NA
19.0,6864475809194047616,-83.27253,19.86342,85.60881792606,-0.691733513336826,-0.234159389316694,5.82561118315945,299.43997,-21.888292,16.9465007781982,16.2938995361328,16.0167007446289,15.8877000808716,15.8037004470825,16.329153,16.815248,15.647866,6.94380840938664,-7.73351207391967,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-86868.9114285769,19347.4633469386,1.0,-83272.53,19863.42,NA,P,-0.368462522123894,0.0878912389380531,NA,NA,NA,NA
20.0,6864589917885825024,-36.11871,207.53408,210.653638880297,0.534744085029446,-1.39848472350704,1.93322880853649,299.6618,-21.101221,17.7367992401123,17.2896003723145,17.1049003601074,17.0307998657227,16.9719009399414,17.307835,17.674417,16.741894,1.85799972967074,-4.47487567647148,NA,NA,NA,1.0,NA,NA,NA,-36735.3314285743,197225.509346939,0.0,-36118.71,207534.08,NA,P,-0.159817300884956,0.918292389380531,NA,NA,NA,NA
21.0,6864133757999068416,-135.38105,-165.14783,213.545860303616,2.71916451123973,0.884124138208715,1.83504037303102,299.2082,-22.666004,16.3978004455566,16.4615001678467,16.5895004272461,16.6790008544922,16.6835994720459,16.391766,16.44871,16.232773,5.64196492104251,-7.33589503547838,NA,NA,NA,1.0,NA,NA,NA,-139248.931428586,-156415.448653062,0.0,-135381.05,-165147.83,NA,P,-0.599031194690265,-0.730742610619469,NA,NA,NA,NA
22.0,6864397331552485504,-34.04236,-187.13061,NA,NA,NA,NA,299.0445,-21.900139,NA,10.7496004104614,NA,NA,NA,NA,NA,NA,19.2359437314273,-21.3549588838021,NA,NA,NA,NA,NA,NA,NA,-176245.131428574,16670.0413469387,2.0,-170768.25,16935.75,NA,G,NA,NA,190.20185980516,5.20651266673116,1.39084654770023,3.81566611903093
23.0,6864235050507494528,-160.23142,138.86556,NA,NA,NA,NA,300.73398,-22.083553,NA,11.1969995498657,NA,NA,NA,NA,NA,NA,11.8207138893405,-47.3446832355894,NA,NA,NA,NA,NA,NA,NA,205577.348571413,-24781.5226530611,2.0,200233.61,-26599.33,NA,G,NA,NA,212.032430796164,3.06905452052408,-0.714084744312826,3.7831392648369
24.0,6865825906392800384,74.34196,197.6204,NA,NA,NA,NA,300.3992,-21.50024,NA,11.7093000411987,NA,NA,NA,NA,NA,NA,1.18179553357165,-5.20155589946197,NA,NA,NA,NA,NA,NA,NA,129917.068571421,107047.215346938,2.0,126143.89,111526.65,NA,G,NA,NA,211.141065434466,2.53277931136891,4.35257923546219,4.46338538308631
25.0,6864153270030444288,200.23361,-26.59933,NA,NA,NA,NA,299.15057,-22.447823,NA,12.0662002563477,NA,NA,NA,NA,NA,NA,9.06264939074602,-12.5170083484214,NA,NA,NA,NA,NA,NA,NA,-152273.311428577,-107106.542653061,2.0,-147390.06,-112549.8,NA,G,NA,NA,201.992630880636,4.62670827643417,3.00952440997927,1.6171838664549
26.0,6864536076175760128,-147.39006,-112.5498,NA,NA,NA,NA,299.93243,-21.221102,NA,12.2386999130249,NA,NA,NA,NA,NA,NA,1.45566444745194,-12.0459181073714,NA,NA,NA,NA,NA,NA,NA,24427.0485714218,170132.403346939,2.0,23771.29,177915.89,NA,G,NA,NA,185.448880468024,2.48558495481705,0.65216022856481,1.83342472625224
27.0,6864317097262996096,-171.85875,122.01656,NA,NA,NA,NA,299.99063,-21.762323,NA,12.3168001174927,NA,NA,NA,NA,NA,NA,0.857401274660125,-2.78388136381946,NA,NA,NA,NA,NA,NA,NA,37580.2485714216,47816.4573469389,2.0,35966.52,49279.4,NA,G,NA,NA,210.768761598573,3.1170680869742,-0.617393695945896,3.7344617829201
